School Name,Address,Mobile,link
aadharshila-vidyapeeth,"CD-Block, Pitampura Delhi - 110034, Delhi, India","(011)-27316362, 27311222",https://targetstudy.com/school/29984/aadharshila-vidyapeeth/
abhinav-public-school,"G-27 , Sector-3 , Rohini Delhi - 110085, Delhi, India","(011)-27512199, 27510264",https://targetstudy.com/school/91453/abhinav-public-school/
acharya-tulsi-rajkiya-sarvodya-vidhyala,"Near Maternity and Family Welfare Hospital Chattarpur, Mehrauli New Delhi - 110030, Delhi, India",(011)-26804615,https://targetstudy.com/school/29110/acharya-tulsi-rajkiya-sarvodya-vidhyala/
adarsh-jain-dharmik-shiksha-sadan-school,"Najafgarh Thana Road, Prem Nagar, Najafgarh Delhi - 110043, Delhi, India",(011)-28010740,https://targetstudy.com/school/61522/adarsh-jain-dharmik-shiksha-sadan-school/
adarsh-public-school,"F-Block, Bali Nagar New Delhi - 110015, Delhi, India","(011)-25152600, 25152500",https://targetstudy.com/school/30193/adarsh-public-school/
adarsh-public-school,"Vikas Puri, C-Block New Delhi - 110018, Delhi, India","(011)-28543300, 28540776",https://targetstudy.com/school/2031/adarsh-public-school/
adarsh-school,"Kirti Nagar New Delhi - 110015, Delhi, India","(011)-25468105, 25416913",https://targetstudy.com/school/34755/adarsh-school/
adarsh-senior-secondary-school,"G.T. Road, Libaspur Delhi - 110042, Delhi, India",(011)-27294110,https://targetstudy.com/school/69067/adarsh-senior-secondary-school/
adarsh-world-school,"Sector 12, Dwarka, Phase 1 New Delhi - 110075, Delhi, India","(011)-45017923, 45017924",https://targetstudy.com/school/36403/adarsh-world-school/
aes-dr-bv-nath-and-tr-rao-memorial-senior-secondary-school,"Deen Dayal Upadhyay Marg New Delhi - 110002, Delhi, India",(011)-23232662,https://targetstudy.com/school/29908/aes-dr-bv-nath-and-tr-rao-memorial-senior-secondary-school/
aes-dr-ramesh-babu-memorial-secondary-school,"Sector 7, Pushp Vihar New Delhi - 110017, Delhi, India",(011)-29562959,https://targetstudy.com/school/29911/aes-dr-ramesh-babu-memorial-secondary-school/
aes-senior-secondary-school,"B-3, B Block, Janakpuri New Delhi - 110002, Delhi, India",(011)-25595488,https://targetstudy.com/school/29909/aes-senior-secondary-school/
ahlcon-international-school,"Mayur Vihar, Phase I Delhi - 110091, Delhi, India",(011)-47770777,https://targetstudy.com/school/29998/ahlcon-international-school/
ahlcon-public-school,"Mayur Vihar, Phase 1 New Delhi - 110091, Delhi, India",(011)-46347777,https://targetstudy.com/school/2063/ahlcon-public-school/
air-force-golden-jubilee-institute-afgji,"Subroto Park New Delhi - 110010, Delhi, India",(011)-25692819,https://targetstudy.com/school/2050/air-force-golden-jubilee-institute-afgji/
air-force-school,"Air Force Station, Brar Square, Naraina New Delhi - 110010, Delhi, India",(011)-25695496,https://targetstudy.com/school/29116/air-force-school/
air-force-senior-secondary-school,"Old Willingdon Camp, Race Course New Delhi - 110003, Delhi, India","(011)-23012031, 230127857, 23793744, 23015488",https://targetstudy.com/school/29115/air-force-senior-secondary-school/
air-force-senior-secondary-school,"Palam, Delhi Cantt Delhi - 110010, Delhi, India",(011)-25675531,https://targetstudy.com/school/2258/air-force-senior-secondary-school/
akali-baba-phoola-singh-khalsa-higher-secondary-school,"Near Karol Bagh Metro Station, Rajender Nagar New Delhi - 110060, Delhi, India","(011)-25868382, 25729382, 25449269",https://targetstudy.com/school/71553/akali-baba-phoola-singh-khalsa-higher-secondary-school/
akash-model-school,"Baljeet Vihar, Nithari Extn., Near Rohini Sector 22 New Delhi - 110086, Delhi, India","(011)-64650044, 64650047",https://targetstudy.com/school/81300/akash-model-school/
ambience-public-school,"A-1, Safdarjung Enclave New Delhi - 110029, Delhi, India","(011)-47232000, 26109739, 26105548",https://targetstudy.com/school/62209/ambience-public-school/
