station,aqi,school_count,hospital_count,park_count,latitude,longitude,pincode,risk_level
"Anand Vihar, Delhi",295.1668567518248,24.0,21.0,148.0,28.6469,77.3164,110092,Critical
"Bawana, Delhi",283.6946852189781,8.0,0.0,3.0,28.7762,77.051,110039,High
"Dwarka Sec 8, Delhi",248.2002737226277,5.0,3.0,33.0,28.5708,77.0712,110077,Low
Faridabad New Town,260.4274635036496,0.0,0.0,0.0,28.3722,77.3099,121001,Moderate
Faridabad Sec 16A,266.1054972627737,0.0,0.0,0.0,28.4089,77.3178,121001,Moderate
Ghaziabad Loni,279.56922901459853,4.0,1.0,0.0,28.7529,77.2782,110094,Moderate
Ghaziabad Vasundhara,270.58702098540147,0.0,0.0,0.0,28.6605,77.3573,201012,Moderate
Greater Noida,248.49110401459853,0.0,0.0,0.0,28.4744,77.504,210310,Low
Gurugram Sec 51,256.0095802919708,0.0,0.0,0.0,28.423,77.047,122018,Low
Gurugram Vikas Sadan,260.4317974452555,16.0,11.0,17.0,28.4502,77.0266,110058,Moderate
"ITO, Delhi",276.9741104014599,23.0,7.0,0.0,28.6289,77.2414,110002,Moderate
"Jahangirpuri, Delhi",289.7188640510949,5.0,3.0,0.0,28.7299,77.1718,110033,High
"Mandir Marg, Delhi",247.95586222627736,7.0,4.0,3.0,28.6362,77.201,110060,Low
"NSIT Dwarka, Delhi",244.71703923357663,3.0,0.0,70.0,28.6089,77.0327,110078,Low
Noida Sec 125,255.8986085766424,0.0,0.0,0.0,28.5447,77.323,201313,Low
Noida Sec 62,263.2194343065693,0.0,0.0,0.0,28.6246,77.3649,201309,Moderate
"Okhla Phase 2, Delhi",274.1307025547445,1.0,1.0,5.0,28.5308,77.271,110076,Moderate
"Punjabi Bagh, Delhi",270.2772582116788,6.0,1.0,3.0,28.6683,77.1311,110026,Moderate
"RK Puram, Delhi",255.6092609489051,0.0,0.0,0.0,28.5631,77.1851,110066,Low
"Rohini, Delhi",263.03866332116786,9.0,6.0,32.0,28.7495,77.0565,110086,Moderate
"Shadipur, Delhi",266.1251140510949,4.0,7.0,5.0,28.6519,77.1579,110008,Moderate
"Siri Fort, Delhi",251.15761861313868,13.0,11.0,4.0,28.5535,77.2167,110017,Low
"Wazirpur, Delhi",286.58736313868616,11.0,8.0,48.0,28.6999,77.1653,110088,High
